~id,~label,name
a_crosby__stills___nash,artist,"Crosby, Stills & Nash"
a_tracy_chapman,artist,Tracy Chapman
a_blood__sweat___tears,artist,"Blood, Sweat & Tears"
a_the_jesus_and_mary_chain,artist,The Jesus and Mary Chain
a_sleater_kinney,artist,Sleater Kinney
a_smokey_robinson___the_miracles,artist,Smokey Robinson & The Miracles
a_labelle,artist,LaBelle
a_parliament,artist,Parliament
a_janet_jackson,artist,Janet Jackson
a_various,artist,Various
a_mary_j__blige,artist,Mary J. Blige
a_barry_white,artist,Barry White
a_the_cars,artist,The Cars
a_x,artist,X
a_bob_dylan_and_the_band,artist,Bob Dylan and the Band
a_mc5,artist,MC5
a_leonard_cohen,artist,Leonard Cohen
a_weezer,artist,Weezer
a_dolly_parton,artist,Dolly Parton
a_jeff_buckley,artist,Jeff Buckley
a_lucinda_williams,artist,Lucinda Williams
a_beck,artist,Beck
a_red_hot_chili_peppers,artist,Red Hot Chili Peppers
a_jane_s_addiction,artist,Jane's Addiction
a_lauryn_hill,artist,Lauryn Hill
a_tom_petty_and_the_heartbreakers,artist,Tom Petty and the Heartbreakers
a_the_o_jays,artist,The O'Jays
a_nick_drake,artist,Nick Drake
a_randy_newman,artist,Randy Newman
a_the_police,artist,The Police
a_eric_clapton,artist,Eric Clapton
a_the_cure,artist,The Cure
a_liz_phair,artist,Liz Phair
a_sonic_youth,artist,Sonic Youth
a_richard___linda_thompson,artist,Richard & Linda Thompson
a_graham_parker___the_rumour,artist,Graham Parker & The Rumour
a_soundgarden,artist,Soundgarden
a_jethro_tull,artist,Jethro Tull
a_big_brother___the_holding_company,artist,Big Brother & the Holding Company
a_tom_waits,artist,Tom Waits
a_black_flag,artist,Black Flag
a_moby,artist,Moby
a_depeche_mode,artist,Depeche Mode
a_meat_loaf,artist,Meat Loaf
a_de_la_soul,artist,De La Soul
a_the_yardbirds,artist,The Yardbirds
a_dire_straits,artist,Dire Straits
a_buzzcocks,artist,Buzzcocks
a_outkast,artist,OutKast
a_the_smashing_pumpkins,artist,The Smashing Pumpkins
a_new_order,artist,New Order
a_rage_against_the_machine,artist,Rage Against the Machine
a_mott_the_hoople,artist,Mott the Hoople
a_arctic_monkeys,artist,Arctic Monkeys
a_roxy_music,artist,Roxy Music
a_jackson_browne,artist,Jackson Browne
a_bjork,artist,Bjork
a_john_lee_hooker,artist,John Lee Hooker
a_oasis,artist,Oasis
a_tlc,artist,TLC
a_toots___the_maytals,artist,Toots & The Maytals
a_the_modern_lovers,artist,The Modern Lovers
a_wu_tang_clan,artist,Wu Tang Clan
a_don_henley,artist,Don Henley
a_the_white_stripes,artist,The White Stripes
a_m_i_a_,artist,M.I.A.
a_lcd_soundsystem,artist,LCD Soundsystem
a_massive_attack,artist,Massive Attack
a_zz_top,artist,ZZ Top
a_the_temptations,artist,The Temptations
a_nas,artist,Nas
a_lynyrd_skynyrd,artist,Lynyrd Skynyrd
a_dr__john,artist,Dr. John
a_big_star,artist,Big Star
a_pj_harvey,artist,PJ Harvey
a_sinead_o_connor,artist,Sinead O'Connor
a_wire,artist,Wire
a_minutemen,artist,Minutemen
a_the_go_go_s,artist,The Go Go's
a_van_halen,artist,Van Halen
a_paul_mccartney___wings,artist,Paul McCartney & Wings
a_portishead,artist,Portishead
a_the_crickets,artist,The Crickets
a_the_ronettes,artist,The Ronettes
a_diana_ross___the_supremes,artist,Diana Ross & The Supremes
a_gram_parsons,artist,Gram Parsons
a_cheap_trick,artist,Cheap Trick
a_peter_wolf,artist,Peter Wolf
a_brian_eno,artist,Brian Eno
a_vampire_weekend,artist,Vampire Weekend
a_george_harrison,artist,George Harrison
a_lil_wayne,artist,Lil Wayne
a_the_pogues,artist,The Pogues
a_suicide,artist,Suicide
a_devo,artist,DEVO
a_war,artist,War
a_steve_miller_band,artist,Steve Miller Band
a_stan_getz_joao_gilbertofeaturingantonio_carlos_jobim,artist,Stan Getz/Joao GilbertofeaturingAntonio Carlos Jobim
a_amy_winehouse,artist,Amy Winehouse
a_john_prine,artist,John Prine
a_epmd,artist,EPMD
a_alice_cooper,artist,Alice Cooper
a_los_lobos,artist,Los Lobos
a_my_morning_jacket,artist,My Morning Jacket
a_the_drifters,artist,The Drifters
a_hole,artist,Hole
a_public_image_ltd_,artist,Public Image Ltd.
a_echo_and_the_bunnymen,artist,Echo and The Bunnymen
a_def_leppard,artist,Def Leppard
a_the_magnetic_fields,artist,The Magnetic Fields
a_coldplay,artist,Coldplay
a_the_paul_butterfield_blues_band,artist,The Paul Butterfield Blues Band
a_fugees,artist,Fugees
a_l_l__cool_j,artist,L.L. Cool J
a_george_michael,artist,George Michael
a_manu_chao,artist,Manu Chao
a_merle_haggard,artist,Merle Haggard
a_loretta_lynn,artist,Loretta Lynn
a_raekwon,artist,Raekwon
a_d_angelo,artist,D'Angelo
a_steve_earle,artist,Steve Earle
a_gang_of_four,artist,Gang of Four
a_earth__wind___fire,artist,"Earth, Wind & Fire"
a_cyndi_lauper,artist,Cyndi Lauper
a_husker_du,artist,Husker Du
a_albert_king,artist,Albert King
a_eurythmics,artist,Eurythmics
a_wilco,artist,Wilco
a_mgmt,artist,MGMT
a_boz_scaggs,artist,Boz Scaggs
a_the_stone_roses,artist,The Stone Roses
