~id,~from,~to,~label
25_ajames_brown,a_25,a_james_brown,hasArtist
25_gfunk___soul,a_25,g_funk___soul,hasGenre
25_srhythm___blues,a_25,s_rhythm___blues,hasSubgenre
25_ssoul,a_25,s_soul,hasSubgenre
26_1977,a_26,y_1977,hasYear
26_afleetwood_mac,a_26,a_fleetwood_mac,hasArtist
26_grock,a_26,g_rock,hasGenre
26_spop_rock,a_26,s_pop_rock,hasSubgenre
27_1987,a_27,y_1987,hasYear
27_au2,a_27,a_u2,hasArtist
27_grock,a_27,g_rock,hasGenre
27_salternative_rock,a_27,s_alternative_rock,hasSubgenre
27_spop_rock,a_27,s_pop_rock,hasSubgenre
28_1971,a_28,y_1971,hasYear
28_athe_who,a_28,a_the_who,hasArtist
28_grock,a_28,g_rock,hasGenre
28_shard_rock,a_28,s_hard_rock,hasSubgenre
28_smod,a_28,s_mod,hasSubgenre
28_sprog_rock,a_28,s_prog_rock,hasSubgenre
28_spsychedelic_rock,a_28,s_psychedelic_rock,hasSubgenre
29_1969,a_29,y_1969,hasYear
29_aled_zeppelin,a_29,a_led_zeppelin,hasArtist
29_grock,a_29,g_rock,hasGenre
29_sblues_rock,a_29,s_blues_rock,hasSubgenre
29_shard_rock,a_29,s_hard_rock,hasSubgenre
30_1971,a_30,y_1971,hasYear
30_ajoni_mitchell,a_30,a_joni_mitchell,hasArtist
30_gpop,a_30,g_pop,hasGenre
30_sacoustic,a_30,s_acoustic,hasSubgenre
30_sballad,a_30,s_ballad,hasSubgenre
30_sfolk,a_30,s_folk,hasSubgenre
31_1965,a_31,y_1965,hasYear
31_abob_dylan,a_31,a_bob_dylan,hasArtist
31_grock,a_31,g_rock,hasGenre
31_gfolk,a_31,g_folk,hasGenre
31_gworld,a_31,g_world,hasGenre
31_g__country,a_31,g___country,hasGenre
31_sfolk_rock,a_31,s_folk_rock,hasSubgenre
31_sfolk,a_31,s_folk,hasSubgenre
32_1969,a_32,y_1969,hasYear
32_athe_rolling_stones,a_32,a_the_rolling_stones,hasArtist
32_grock,a_32,g_rock,hasGenre
32_sblues_rock,a_32,s_blues_rock,hasSubgenre
32_shard_rock,a_32,s_hard_rock,hasSubgenre
33_1976,a_33,y_1976,hasYear
33_aramones,a_33,a_ramones,hasArtist
33_grock,a_33,g_rock,hasGenre
33_srock___roll,a_33,s_rock___roll,hasSubgenre
33_spunk,a_33,s_punk,hasSubgenre
34_1968,a_34,y_1968,hasYear
34_athe_band,a_34,a_the_band,hasArtist
34_grock,a_34,g_rock,hasGenre
34_sfolk_rock,a_34,s_folk_rock,hasSubgenre
34_sacoustic,a_34,s_acoustic,hasSubgenre
34_sblues_rock,a_34,s_blues_rock,hasSubgenre
35_1972,a_35,y_1972,hasYear
35_adavid_bowie,a_35,a_david_bowie,hasArtist
35_grock,a_35,g_rock,hasGenre
35_sclassic_rock,a_35,s_classic_rock,hasSubgenre
35_sglam,a_35,s_glam,hasSubgenre
36_1971,a_36,y_1971,hasYear
36_acarole_king,a_36,a_carole_king,hasArtist
36_grock,a_36,g_rock,hasGenre
36_gpop,a_36,g_pop,hasGenre
36_sfolk_rock,a_36,s_folk_rock,hasSubgenre
36_ssoft_rock,a_36,s_soft_rock,hasSubgenre
37_1976,a_37,y_1976,hasYear
37_aeagles,a_37,a_eagles,hasArtist
37_grock,a_37,g_rock,hasGenre
37_sclassic_rock,a_37,s_classic_rock,hasSubgenre
38_2001,a_38,y_2001,hasYear
38_amuddy_waters,a_38,a_muddy_waters,hasArtist
38_gfolk,a_38,g_folk,hasGenre
38_gworld,a_38,g_world,hasGenre
38_g__country,a_38,g___country,hasGenre
38_sfolk,a_38,s_folk,hasSubgenre
39_1963,a_39,y_1963,hasYear
39_athe_beatles,a_39,a_the_beatles,hasArtist
39_grock,a_39,g_rock,hasGenre
39_sbeat,a_39,s_beat,hasSubgenre
39_srock___roll,a_39,s_rock___roll,hasSubgenre
40_1967,a_40,y_1967,hasYear
40_alove,a_40,a_love,hasArtist
40_grock,a_40,g_rock,hasGenre
40_sfolk_rock,a_40,s_folk_rock,hasSubgenre
40_spsychedelic_rock,a_40,s_psychedelic_rock,hasSubgenre
41_1977,a_41,y_1977,hasYear
41_asex_pistols,a_41,a_sex_pistols,hasArtist
41_grock,a_41,g_rock,hasGenre
41_spunk,a_41,s_punk,hasSubgenre
42_1967,a_42,y_1967,hasYear
42_athe_doors,a_42,a_the_doors,hasArtist
42_grock,a_42,g_rock,hasGenre
42_spsychedelic_rock,a_42,s_psychedelic_rock,hasSubgenre
43_1973,a_43,y_1973,hasYear
